Desc	Family ID	Hleu	Lpic	Lvar	Mglob	Pliv	Spurp_prefixed
(null)	OG0000163	7	13	13	8	10	25
(null)	OG0000164	1	9	9	4	53	0
(null)	OG0000165	8	1	5	11	4	47
(null)	OG0000166	0	0	0	3	19	54
(null)	OG0000167	39	8	8	8	5	7
(null)	OG0000168	2	13	10	20	11	19
(null)	OG0000169	0	8	2	9	46	10
(null)	OG0000170	74	0	0	0	0	0
(null)	OG0000171	2	18	34	6	6	8
(null)	OG0000172	4	8	11	6	31	14
(null)	OG0000173	73	0	0	0	0	0
(null)	OG0000174	27	6	7	8	10	15
(null)	OG0000175	40	7	3	2	11	10
(null)	OG0000176	18	13	15	7	7	13
(null)	OG0000177	8	11	14	10	12	18
(null)	OG0000178	10	13	10	9	9	22
(null)	OG0000179	0	0	0	0	0	73
(null)	OG0000180	46	8	10	2	6	0
(null)	OG0000181	26	8	7	4	17	10
(null)	OG0000182	0	2	2	4	15	49
(null)	OG0000183	67	0	0	0	3	1
(null)	OG0000184	10	14	13	9	14	11
(null)	OG0000185	6	10	12	12	13	18
(null)	OG0000186	5	9	7	16	17	17
(null)	OG0000187	7	5	7	38	11	3
(null)	OG0000188	0	3	6	21	15	26
(null)	OG0000189	52	1	5	0	11	1
(null)	OG0000190	33	10	4	17	5	1
(null)	OG0000191	2	4	9	10	12	33
(null)	OG0000192	6	16	10	9	12	17
(null)	OG0000193	12	9	7	8	12	22
(null)	OG0000194	10	10	11	7	11	21
(null)	OG0000195	35	9	4	7	9	5
(null)	OG0000196	18	19	0	0	32	0
(null)	OG0000197	11	23	6	6	16	7
(null)	OG0000198	9	14	13	8	8	17
(null)	OG0000199	10	15	9	9	7	19
(null)	OG0000200	1	6	5	1	54	2
(null)	OG0000201	3	10	8	6	14	28
(null)	OG0000202	1	8	9	17	17	17
(null)	OG0000203	0	7	22	2	10	28
(null)	OG0000204	11	44	0	10	0	3
(null)	OG0000205	9	17	6	1	22	13
(null)	OG0000206	1	1	34	1	1	30
(null)	OG0000207	38	6	6	3	7	7
(null)	OG0000208	42	5	6	1	2	11
(null)	OG0000209	9	10	10	13	12	13
(null)	OG0000210	13	11	12	5	10	16
(null)	OG0000211	2	1	1	5	53	5
(null)	OG0000212	0	14	18	5	10	20
(null)	OG0000213	0	14	9	35	7	2
(null)	OG0000214	21	4	9	3	8	21
(null)	OG0000215	64	0	0	0	2	0
(null)	OG0000216	1	23	15	1	2	24
(null)	OG0000217	26	6	3	12	9	10
(null)	OG0000218	6	12	14	12	7	15
(null)	OG0000219	6	10	9	5	9	27
(null)	OG0000220	56	2	0	0	2	5
(null)	OG0000221	7	12	9	9	8	20
(null)	OG0000222	4	12	17	10	9	13
(null)	OG0000223	4	0	0	0	59	1
(null)	OG0000224	15	9	13	3	8	16
(null)	OG0000225	7	8	19	0	4	25
(null)	OG0000226	11	2	7	14	28	1
(null)	OG0000227	6	12	20	12	9	4
(null)	OG0000228	10	9	15	4	9	16
(null)	OG0000229	11	8	11	24	3	6
(null)	OG0000230	16	27	11	0	8	1
(null)	OG0000231	1	9	18	1	1	33
(null)	OG0000232	0	5	12	25	11	10
